projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.66,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.76,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,65,69,1.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,2.21,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.720000000000006,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.71,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.77,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,1.7199999999999998,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.71,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.65,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.76,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,2.17,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.7,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,59.99,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,53,69,0.0,60.37,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.63,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,61,69,0.0,2.64,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-14.json,69,66,69,1.0,5.0,,,,,,,,
